date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:47:22	103442/103442	---MCZ	200	added ('OK')	text/html	date:Wed,%2010%20Nov%202021%2017:47:20%20GMT	https://dispatch.me/resources/blog/page/8/	D:/MFP/projects/bst/tada2/dispatch.me/resources/blog/page/8/index.html	(from https://dispatch.me/resources/blog/)
21:47:24	2412/2412	---MCZ	200	added ('OK')	application/json	date:Wed,%2010%20Nov%202021%2017:47:22%20GMT	https://dispatch.me/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fdispatch.me%2Fabout%2Fteam%2F	D:/MFP/projects/bst/tada2/dispatch.me/wp-json/oembed/1.0/embed01c0.json	(from https://dispatch.me/about/team/)
21:47:24	103429/103429	---MCZ	200	added ('OK')	text/html	date:Wed,%2010%20Nov%202021%2017:47:22%20GMT	https://dispatch.me/resources/blog/page/10/	D:/MFP/projects/bst/tada2/dispatch.me/resources/blog/page/10/index.html	(from https://dispatch.me/resources/blog/)
21:47:24	103092/103092	---MCZ	200	added ('OK')	text/html	date:Wed,%2010%20Nov%202021%2017:47:22%20GMT	https://dispatch.me/resources/blog/page/11/	D:/MFP/projects/bst/tada2/dispatch.me/resources/blog/page/11/index.html	(from https://dispatch.me/resources/blog/)
21:47:24	83767/83767	---MCZ	200	added ('OK')	text/html	date:Wed,%2010%20Nov%202021%2017:47:22%20GMT	https://dispatch.me/resources/blog/page/12/	D:/MFP/projects/bst/tada2/dispatch.me/resources/blog/page/12/index.html	(from https://dispatch.me/resources/blog/)
21:47:24	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2010%20Nov%202021%2017:47:24%20GMT	https://dispatch.me/?p=58	D:/MFP/projects/bst/tada2/dispatch.me/indexe9b4.html	(from https://dispatch.me/about/team/)
21:47:24	2540/2540	---MCZ	200	added ('OK')	text/xml	date:Wed,%2010%20Nov%202021%2017:47:24%20GMT	https://dispatch.me/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fdispatch.me%2Fabout%2Fteam%2F&format=xml	D:/MFP/projects/bst/tada2/dispatch.me/wp-json/oembed/1.0/embedba33	(from https://dispatch.me/about/team/)
21:47:26	354178/354178	---M--	200	added ('OK')	image/png	etag:%225e57dd43-56782%22	https://dispatch.me/wp-content/uploads/2020/02/Patrick-Burns-500x500.png	D:/MFP/projects/bst/tada2/dispatch.me/wp-content/uploads/2020/02/Patrick-Burns-500x500.png	(from https://dispatch.me/about/team/)
21:47:26	361990/361990	---M--	200	added ('OK')	image/png	etag:%2260560cbb-58606%22	https://dispatch.me/wp-content/uploads/2021/03/Avi-G-500x500.png	D:/MFP/projects/bst/tada2/dispatch.me/wp-content/uploads/2021/03/Avi-G-500x500.png	(from https://dispatch.me/about/team/)
21:47:27	364480/364480	---M--	200	added ('OK')	image/png	etag:%2260560d44-58fc0%22	https://dispatch.me/wp-content/uploads/2021/03/Pat-B-500x500.png	D:/MFP/projects/bst/tada2/dispatch.me/wp-content/uploads/2021/03/Pat-B-500x500.png	(from https://dispatch.me/about/team/)
